linear.x = 0.000000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.162000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = -0.574468 
linear.x = 0.162000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = -0.574468 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.162000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = -0.574468 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.162000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.574468 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.108000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 1.148936 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
linear.x = 0.162000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = -0.574468 
linear.x = 0.162000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = -0.574468 
linear.x = 0.216000, linear.y = 0.000000, linear.z = 0.000000, angular.x = 0.000000, angular.y = 0.000000, angular.z = 0.000000 
